Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
NEGR1,ENSG00000172260,Neuronal growth regulator 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATG9A,ENSG00000198925,Autophagy-related protein 9A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYSMD3,ENSG00000176018,LysM and putative peptidoglycan-binding domain-containing protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR155,ENSG00000163328,Integral membrane protein GPR155,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC46A3,ENSG00000139508,Solute carrier family 46 member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2W3,ENSG00000238243,Olfactory receptor 2W3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMC7,ENSG00000170537,Transmembrane channel-like protein 7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSMD2,ENSG00000121904,CUB and sushi domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNK18,ENSG00000186795,Potassium channel subfamily K member 18,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PKD1L2,ENSG00000166473,Polycystic kidney disease protein 1-like 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PKD1L3,ENSG00000277481,Polycystic kidney disease protein 1-like 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP10,ENSG00000197324,Low-density lipoprotein receptor-related protein 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MDGA2,ENSG00000139915,MAM domain-containing glycosylphosphatidylinositol anchor protein 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VN1R4,ENSG00000228567,Vomeronasal type-1 receptor 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SDK1,ENSG00000146555,Protein sidekick-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR142,ENSG00000257008,Probable G-protein coupled receptor 142,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR141,ENSG00000187037,Probable G-protein coupled receptor 141,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM19,ENSG00000186567,Carcinoembryonic antigen-related cell adhesion molecule 19,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTLA,ENSG00000186265,B- and T-lymphocyte attenuator,CSPA_validated,CD272,Bausch-Fluck et al. 2018 PNAS 115:E10988
MILR1,ENSG00000271605,Allergin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VTCN1,ENSG00000134258,V-set domain-containing T-cell activation inhibitor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LHFPL4,ENSG00000156959,Lipoma HMGIC fusion partner-like 4 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MEGF8,ENSG00000105429,Multiple epidermal growth factor-like domains protein 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR144,ENSG00000180264,Probable G-protein coupled receptor 144,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM179B,ENSG00000185475,Transmembrane protein 179B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AMIGO2,ENSG00000139211,Amphoterin-induced protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DSG4,ENSG00000175065,Desmoglein-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRG,ENSG00000182170,Mas-related G-protein coupled receptor member G,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MRGPRE,ENSG00000184350,Mas-related G-protein coupled receptor member E,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR149,ENSG00000174948,Probable G-protein coupled receptor 149,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EMR4P,,Putative EGF-like module-containing mucin-like hormone receptor-like 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR126,ENSG00000112414,G-protein coupled receptor 126,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR123,ENSG00000197177,Probable G-protein coupled receptor 123,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ILDR1,ENSG00000145103,Immunoglobulin-like domain-containing receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC14A,ENSG00000176435,C-type lectin domain family 14 member A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMPRSS11B,ENSG00000185873,Transmembrane protease serine 11B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM150A,ENSG00000168890,Transmembrane protein 150A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM110,ENSG00000213533,Transmembrane protein 110,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C14orf37,ENSG00000139971,Uncharacterized protein C14orf37,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN33,ENSG00000158457,Tetraspanin-33,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO6A1,ENSG00000205359,Solute carrier organic anion transporter family member 6A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA12,ENSG00000144452,ATP-binding cassette sub-family A member 12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EVC2,ENSG00000173040,Limbin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RTN4RL1,ENSG00000185924,Reticulon-4 receptor-like 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RTN4RL2,ENSG00000186907,Reticulon-4 receptor-like 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH24,ENSG00000139880,Cadherin-24,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CUZD1,ENSG00000138161,CUB and zona pellucida-like domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA13,ENSG00000179869,ATP-binding cassette sub-family A member 13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC51A,ENSG00000163959,Organic solute transporter subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC51B,ENSG00000186198,Organic solute transporter subunit beta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADIPOR2,ENSG00000006831,Adiponectin receptor protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRABD2A,ENSG00000186854,Metalloprotease TIKI1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR180,ENSG00000152749,Integral membrane protein GPR180,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD163,ENSG00000177575,Scavenger receptor cysteine-rich type 1 protein M130,CSPA_validated,CD163,Bausch-Fluck et al. 2018 PNAS 115:E10988
SERINC5,ENSG00000164300,Serine incorporator 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRTM4,ENSG00000176204,Leucine-rich repeat transmembrane neuronal protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRTM3,ENSG00000198739,Leucine-rich repeat transmembrane neuronal protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSIG10L,ENSG00000186806,V-set and immunoglobulin domain-containing protein 10-like,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A16,ENSG00000004809,Solute carrier family 22 member 16,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY8,ENSG00000182162,P2Y purinoceptor 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRP11,ENSG00000120256,Low-density lipoprotein receptor-related protein 11,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TPRA1,ENSG00000163870,Transmembrane protein adipocyte-associated 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KCNMB4,ENSG00000135643,Calcium-activated potassium channel subunit beta-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC93A,ENSG00000112494,Protein unc-93 homolog A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OSTM1,ENSG00000081087,Osteopetrosis-associated transmembrane protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LHFPL1,ENSG00000182508,Lipoma HMGIC fusion partner-like 1 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PKHD1L1,ENSG00000205038,Fibrocystin-L,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AMIGO1,ENSG00000181754,Amphoterin-induced protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AMIGO3,ENSG00000176020,Amphoterin-induced protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSIG1,ENSG00000101842,V-set and immunoglobulin domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CATSPERD,ENSG00000174898,Cation channel sperm-associated protein subunit delta,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRIMA1,ENSG00000175785,Proline-rich membrane anchor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNF130,ENSG00000113269,E3 ubiquitin-protein ligase RNF130,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM219,ENSG00000149932,Insulin-like growth factor-binding protein 3 receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FRAS1,ENSG00000138759,Extracellular matrix protein FRAS1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR97,ENSG00000182885,Probable G-protein coupled receptor 97,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRROS,ENSG00000174004,Negative regulator of reactive oxygen species,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM25,ENSG00000149582,Transmembrane protein 25,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LDLRAD3,ENSG00000179241,Low-density lipoprotein receptor class A domain-containing protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AMICA1,ENSG00000160593,Junctional adhesion molecule-like,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IFNLR1,ENSG00000185436,Interferon lambda receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMPRSS6,ENSG00000187045,Transmembrane protease serine 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA9,ENSG00000154258,ATP-binding cassette sub-family A member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPPL2C,ENSG00000185294,Signal peptide peptidase-like 2C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLXDC1,ENSG00000161381,Plexin domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RELL1,ENSG00000181826,RELT-like protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPIHBP1,ENSG00000277494,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC41A1,ENSG00000133065,Solute carrier family 41 member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A9,ENSG00000149742,Solute carrier family 22 member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGDCC3,ENSG00000174498,Immunoglobulin superfamily DCC subclass member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPNS2,ENSG00000183018,Protein spinster homolog 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSTM4,ENSG00000165633,V-set and transmembrane domain-containing protein 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK4,,SLIT and NTRK-like protein 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC44A2,ENSG00000129353,Choline transporter-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD6L,ENSG00000185156,Major facilitator superfamily domain-containing protein 6-like,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR125,ENSG00000152990,Probable G-protein coupled receptor 125,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCN4B,ENSG00000177098,Sodium channel subunit beta-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTN4,ENSG00000144619,Contactin-4,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD302,ENSG00000241399,CD302 antigen,CSPA_validated,CD302,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4N5,ENSG00000184394,Olfactory receptor 4N5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH26,ENSG00000124215,Cadherin-like protein 26,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC15A3,ENSG00000110446,Solute carrier family 15 member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR65,ENSG00000140030,Psychosine receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEFF1,ENSG00000241697,Tomoregulin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IZUMO1,ENSG00000182264,Izumo sperm-egg fusion protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A15,ENSG00000163393,Solute carrier family 22 member 15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NALCN,ENSG00000102452,Sodium leak channel non-selective protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR116,ENSG00000069122,Probable G-protein coupled receptor 116,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR115,ENSG00000153294,Probable G-protein coupled receptor 115,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR114,ENSG00000159618,Probable G-protein coupled receptor 114,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR113,ENSG00000173567,Probable G-protein coupled receptor 113,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR112,ENSG00000156920,Probable G-protein coupled receptor 112,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR111,ENSG00000164393,Probable G-protein coupled receptor 111,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC5B,ENSG00000107731,Netrin receptor UNC5B,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR64,ENSG00000173698,G-protein coupled receptor 64,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIRREL3,ENSG00000149571,Kin of IRRE-like protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA7,ENSG00000064687,ATP-binding cassette sub-family A member 7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
APCDD1,ENSG00000154856,Protein APCDD1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NLGN4X,ENSG00000146938,"Neuroligin-4, X-linked",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4N4,ENSG00000183706,Olfactory receptor 4N4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8I2,ENSG00000172154,Olfactory receptor 8I2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSIG10,ENSG00000176834,V-set and immunoglobulin domain-containing protein 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DL5A,ENSG00000274676,Killer cell immunoglobulin-like receptor 2DL5A,CSPA_validated,CD158f1,Bausch-Fluck et al. 2018 PNAS 115:E10988
CADM3,ENSG00000162706,Cell adhesion molecule 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5AS1,ENSG00000181785,Olfactory receptor 5AS1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC34A3,ENSG00000198569,Sodium-dependent phosphate transport protein 2C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM123,ENSG00000152558,Porimin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA6,ENSG00000154262,ATP-binding cassette sub-family A member 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8H3,ENSG00000181761,Olfactory receptor 8H3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6V1,ENSG00000225781,Olfactory receptor 6V1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRA2,ENSG00000239998,Leukocyte immunoglobulin-like receptor subfamily A member 2,Predicted,CD85h,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPC2,ENSG00000213420,Glypican-2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8H2,ENSG00000181767,Olfactory receptor 8H2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRG1,ENSG00000163285,Gamma-aminobutyric acid receptor subunit gamma-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DYNAP,ENSG00000178690,Dynactin-associated protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PROM2,ENSG00000155066,Prominin-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD1,ENSG00000150551,Ly6/PLAUR domain-containing protein 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NLGN1,ENSG00000169760,Neuroligin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2L13,ENSG00000196071,Olfactory receptor 2L13,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC43A2,ENSG00000167703,Large neutral amino acids transporter small subunit 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC25,ENSG00000175489,Leucine-rich repeat-containing protein 25,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC15,ENSG00000169550,Mucin-15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR137C,ENSG00000180998,Integral membrane protein GPR137C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CADM2,ENSG00000175161,Cell adhesion molecule 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM132C,ENSG00000181234,Transmembrane protein 132C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRB2,ENSG00000131042,Leukocyte immunoglobulin-like receptor subfamily B member 2,Predicted,CD85d,Bausch-Fluck et al. 2018 PNAS 115:E10988
SVOPL,ENSG00000157703,Putative transporter SVOPL,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FGFRL1,ENSG00000127418,Fibroblast growth factor receptor-like 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD4,ENSG00000174514,Major facilitator superfamily domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RPRML,ENSG00000179673,Reprimo-like protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC44A3,ENSG00000143036,Choline transporter-like protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAM26E,ENSG00000178033,Protein FAM26E,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MS4A15,ENSG00000166961,Membrane-spanning 4-domains subfamily A member 15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPP10,ENSG00000175497,Inactive dipeptidyl peptidase 10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2C3,ENSG00000196242,Olfactory receptor 2C3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A8,ENSG00000256870,Sodium-coupled monocarboxylate transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC15A4,ENSG00000139370,Solute carrier family 15 member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGSF1,ENSG00000147255,Immunoglobulin superfamily member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN19,ENSG00000164007,Claudin-19,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL22RA1,ENSG00000142677,Interleukin-22 receptor subunit alpha-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD177,ENSG00000204936,CD177 antigen,GPI_anchored,CD177,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR161,ENSG00000143147,G-protein coupled receptor 161,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH20,ENSG00000197991,Protocadherin-20,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR3DL3,,Killer cell immunoglobulin-like receptor 3DL3,Predicted,CD158z,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC52,ENSG00000162763,Leucine-rich repeat-containing protein 52,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM217,ENSG00000172738,Transmembrane protein 217,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLD5,ENSG00000180287,Inactive phospholipase D5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN22,ENSG00000177300,Claudin-22,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLECL1,ENSG00000179213,SIGLEC family-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NKAIN3,ENSG00000185942,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LSMEM1,ENSG00000181016,Leucine-rich single-pass membrane protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCBLD1,ENSG00000164465,"Discoidin, CUB and LCCL domain-containing protein 1",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRTM2,ENSG00000166159,Leucine-rich repeat and transmembrane domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD2A,ENSG00000168389,Sodium-dependent lysophosphatidylcholine symporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL17RC,ENSG00000163702,Interleukin-17 receptor C,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FNDC5,ENSG00000160097,Fibronectin type III domain-containing protein 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC43A3,ENSG00000134802,Solute carrier family 43 member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIDT2,ENSG00000149577,SID1 transmembrane family member 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM178A,ENSG00000152154,Transmembrane protein 178A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UBAC2,ENSG00000134882,Ubiquitin-associated domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM87A,ENSG00000103978,Transmembrane protein 87A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TP53I13,ENSG00000167543,Tumor protein p53-inducible protein 13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM145,ENSG00000167619,Transmembrane protein 145,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A9,ENSG00000177058,Putative sodium-coupled neutral amino acid transporter 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC1A,ENSG00000150048,C-type lectin domain family 1 member A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
